Loot Type,Item Name,Points
Tier 14 Weapon,Dagger of Dire Hatred,1.0
Tier 14 Weapon,Bow of Deep Enchantment,1.0
Tier 14 Weapon,Staff of the Fundamental Core,1.0
Tier 14 Weapon,Wand of Retribution,1.0
Tier 14 Weapon,Sword of Majesty,1.0
Tier 14 Weapon,Kusanagi,1.0
Tier 14 Weapon,Soulforged Blades,1.0
Tier 14 Weapon,Longbow of the Midnight Diamond,1.0
Tier 14 Weapon,Spellblade of the Everlasting Death,1.0
Tier 14 Weapon,Morning Star of Reckoning,1.0
Tier 14 Weapon,Gravelord's Flail,1.0
Tier 14 Weapon,Godslayer Tachi,1.0
Tier 7 Ability,Cloak of Nightmares,1.0
Tier 7 Ability,Quiver of the Autumn King,1.0
Tier 7 Ability,Burning Retribution Spell,1.0
Tier 7 Ability,Tome of Hallowed Language,1.0
Tier 7 Ability,Helm of the Tribune,1.0
Tier 7 Ability,Shield of Orcish Regalia,1.0
Tier 7 Ability,Seal of Invocation,1.0
Tier 7 Ability,Necrofish Poison,1.0
Tier 7 Ability,Mindwaster Skull,1.0
Tier 7 Ability,Depthchaser Trap,1.0
Tier 7 Ability,Dimensiongate Orb,1.0
Tier 7 Ability,Prism of Reveries,1.0
Tier 7 Ability,Scepter of the Firmament,1.0
Tier 7 Ability,Dynastic Star,1.0
Tier 7 Ability,Virtuous Wakizashi,1.0
Tier 7 Ability,Nebular Lute,1.0
Tier 7 Ability,Grandmaster Mace,1.0
Tier 7 Ability,Sonic Wave Sheath,1.0
Tier 7 Ability,Sigil of the Rhino,1.0
Tier 14 Armor,Leviathan Armor,1.0
Tier 14 Armor,Robe of the Ancient Intellect,1.0
Tier 14 Armor,Annihilation Armor,1.0
Tier 7 Ring,Ring of Transcendent Health,1.0
Tier 7 Ring,Ring of Transcendent Magic,1.0
Tier 7 Ring,Ring of Transcendent Attack,1.0
Tier 7 Ring,Ring of Transcendent Defense,1.0
Tier 7 Ring,Ring of Transcendent Speed,1.0
Tier 7 Ring,Ring of Transcendent Dexterity,1.0
Tier 7 Ring,Ring of Transcendent Vitality,1.0
Tier 7 Ring,Ring of Transcendent Wisdom,1.0

White or ST,Demon Blade,4.0
White or ST,Volcanic Sheath,4.0
White or ST,Berserker's Breastplate,4.0
White or ST,Demon Blade (shiny),8
White or ST,Volcanic Sheath (shiny),8
White or ST,Staff of Eruption,4.0
White or ST,Scorchium Stone,4.0
White or ST,Molten Mantle,4.0
White or ST,Ring of the Inferno,4.0
Skin,Horned Wyrm Pet Skin,0
Skin,Demon Frog Pet Skin,0

White or ST,Sword of Illumination,6.0
White or ST,Adamantine Helm,6.0
White or ST,Adamantine Helm (shiny),12

White or ST,Arcane Rapier,3.0
UT,Amber Encrusted Helmet,0
UT,Sandstone Seal,0
White or ST,Arcane Rapier (shiny),6
UT,Amber Encrusted Helmet (shiny),0
UT,Sandstone Seal (shiny),0
White or ST,Resplendent Bow,3.0
White or ST,Embellished Quiver,3.0
White or ST,Ornate Armor,3.0
White or ST,Aquamarine Amulet,3.0
Skin,Sand Wanderer Trickster Skin,0

UT,Candy Ring,0
White or ST,Candy-Coated Armor,3.5
White or ST,Bubblegum Bucket,3.5
UT,Candy Ring (shiny),0
White or ST,Candy-Coated Armor (shiny),7
White or ST,Pixie-Enchanted Sword,3.5
White or ST,Seal of the Enchanted Forest,3.5
White or ST,Fairy Plate,3.5
White or ST,Ring of Pure Wishes,3.5
Skin,Mini Desire Troll Pet Skin,0
Skin,Peppermint Snail Pet Skin,0

White or ST,Bottled Medusozoan,5.5
White or ST,Cnidaria Rod,5.5
White or ST,Bottled Medusozoan (shiny),11
White or ST,Cnidaria Rod (shiny),11
Skin,Jellyhead Trickster Skin,0

White or ST,Fungal Breastplate,7.5
White or ST,Crystallized Worm Spellblade,7.5
White or ST,Crystal Shield,7.5
White or ST,Sporous Spray Spell,7.5
White or ST,Tome of the Mushroom Tribes,7.5
White or ST,Cave Dweller Trap,7.5
White or ST,Ring of Decades,7.5
White or ST,Fungal Breastplate (shiny),15
White or ST,Crystal Shield (shiny),15
White or ST,Sporous Spray Spell (shiny),15
White or ST,Tome of the Mushroom Tribes (shiny),15
White or ST,Cave Dweller Trap (shiny),15
White or ST,Ring of Decades (shiny),15
White or ST,Crystalline Sigil,7.5
White or ST,Quartz Cutter,7.5
White or ST,Crystalline Kunai,7.5
White or ST,Luminous Armor,7.5
White or ST,Radiant Heart,7.5

White or ST,Irradiance Sheath,7.5
White or ST,Fractal Blades,7.5
White or ST,Cloak of Refraction,7.5
White or ST,Echoes Prism,7.5
White or ST,Fractured Gemstone Wakizashi,7.5
White or ST,Star of Enlightenment,7.5
White or ST,Crystallised Mist,7.5
White or ST,Fractal Blades (shiny),15
White or ST,Cloak of Refraction (shiny),15
White or ST,Fractured Gemstone Wakizashi (shiny),15
White or ST,Star of Enlightenment (shiny),15
Skin,Crystal Cobra Pet Skin,0

White or ST,Wand of Hidden Knowledge,4.0
White or ST,Necronomicon,4.0
White or ST,Scholar's Seal,4.0
UT,Ronin's Wakizashi,4
White or ST,Corruption Cutter,4.0
White or ST,Wand of Hidden Knowledge (shiny),8.0
White or ST,Necronomicon (shiny),8.0
White or ST,Scholar's Seal (shiny),8
UT,Ronin's Wakizashi (shiny),8
White or ST,Corruption Cutter (shiny),8
White or ST,Deathless Crossbow,4.0
White or ST,Quiver of Shrieking Specters,4.0
White or ST,Wraith's Brigandine,4.0
White or ST,Revenant Ring,4.0
Skin,Cultured Bookwyrm Pet Skin,0
Skin,Enlightened Bookwyrm Pet Skin,0

White or ST,Quartermaster Scabbard,5.0
White or ST,Spirit Dagger,5.0
White or ST,Ghostly Prism,5.0
White or ST,Spectral Cloth Armor,5.0
White or ST,Captain's Ring,5.0
White or ST,Quartermaster Scabbard (shiny),10
White or ST,Spirit Dagger (shiny),10
White or ST,Ghostly Prism (shiny),10
White or ST,Spectral Cloth Armor (shiny),10
Item,Pearl Necklace,0
