item_name,grid_x,grid_y,pixel_x,pixel_y
Dagger of Dire Hatred,0,0,0,0
Bow of Deep Enchantment,1,0,40,0
Staff of the Fundamental Core,2,0,80,0
Wand of Retribution,3,0,120,0
Sword of Majesty,4,0,160,0
Kusanagi,5,0,200,0
Soulforged Blades,6,0,240,0
Longbow of the Midnight Diamond,7,0,280,0
Spellblade of the Everlasting Death,8,0,320,0
Morning Star of Reckoning,9,0,360,0
Gravelord's Flail,10,0,400,0
Godslayer Tachi,11,0,440,0
Cloak of Nightmares,12,0,480,0
Quiver of the Autumn King,13,0,520,0
Burning Retribution Spell,14,0,560,0
Tome of Hallowed Language,15,0,600,0
Helm of the Tribune,16,0,640,0
Shield of Orcish Regalia,17,0,680,0
Seal of Invocation,18,0,720,0
Necrofish Poison,19,0,760,0
Mindwaster Skull,20,0,800,0
Depthchaser Trap,21,0,840,0
Dimensiongate Orb,22,0,880,0
Prism of Reveries,23,0,920,0
Scepter of the Firmament,24,0,960,0
Dynastic Star,25,0,1000,0
Virtuous Wakizashi,26,0,1040,0
Nebular Lute,27,0,1080,0
Grandmaster Mace,28,0,1120,0
Sonic Wave Sheath,29,0,1160,0
Sigil of the Rhino,30,0,1200,0
Leviathan Armor,0,1,0,40
Robe of the Ancient Intellect,1,1,40,40
Annihilation Armor,2,1,80,40
Ring of Transcendent Health,3,1,120,40
Ring of Transcendent Magic,4,1,160,40
Ring of Transcendent Attack,5,1,200,40
Ring of Transcendent Defense,6,1,240,40
Ring of Transcendent Speed,7,1,280,40
Ring of Transcendent Dexterity,8,1,320,40
Ring of Transcendent Vitality,9,1,360,40
Ring of Transcendent Wisdom,10,1,400,40
Demon Blade,11,1,440,40
Volcanic Sheath,12,1,480,40
Berserker's Breastplate,13,1,520,40
Demon Blade (shiny),14,1,560,40
Volcanic Sheath (shiny),15,1,600,40
Staff of Eruption,16,1,640,40
Scorchium Stone,17,1,680,40
Molten Mantle,18,1,720,40
Ring of the Inferno,19,1,760,40
Horned Wyrm Pet Skin,20,1,800,40
Demon Frog Pet Skin,21,1,840,40
Sword of Illumination,22,1,880,40
Adamantine Helm,23,1,920,40
Arcane Rapier,24,1,960,40
Amber Encrusted Helmet,25,1,1000,40
Sandstone Seal,26,1,1040,40
Arcane Rapier (shiny),27,1,1080,40
Amber Encrusted Helmet (shiny),28,1,1120,40
Sandstone Seal (shiny),29,1,1160,40
Resplendent Bow,30,1,1200,40
Embellished Quiver,0,2,0,80
Ornate Armor,1,2,40,80
Aquamarine Amulet,2,2,80,80
Candy Ring,3,2,120,80
Candy-Coated Armor,4,2,160,80
Bubblegum Bucket,5,2,200,80
Candy Ring (shiny),6,2,240,80
Candy-Coated Armor (shiny),7,2,280,80
Pixie-Enchanted Sword,8,2,320,80
Seal of the Enchanted Forest,9,2,360,80
Fairy Plate,10,2,400,80
Ring of Pure Wishes,11,2,440,80
Mini Desire Troll Pet Skin,12,2,480,80
Peppermint Snail Pet Skin,13,2,520,80
Bottled Medusozoan,14,2,560,80
Cnidaria Rod,15,2,600,80
Bottled Medusozoan (shiny),16,2,640,80
Cnidaria Rod (shiny),17,2,680,80
Fungal Breastplate,18,2,720,80
Crystallized Worm Spellblade,19,2,760,80
Crystal Shield,20,2,800,80
Sporous Spray Spell,21,2,840,80
Tome of the Mushroom Tribes,22,2,880,80
Cave Dweller Trap,23,2,920,80
Ring of Decades,24,2,960,80
Fungal Breastplate (shiny),25,2,1000,80
Crystal Shield (shiny),26,2,1040,80
Sporous Spray Spell (shiny),27,2,1080,80
Tome of the Mushroom Tribes (shiny),28,2,1120,80
Cave Dweller Trap (shiny),29,2,1160,80
Ring of Decades (shiny),30,2,1200,80
Crystalline Sigil,0,3,0,120
Quartz Cutter,1,3,40,120
Crystalline Kunai,2,3,80,120
Luminous Armor,3,3,120,120
Radiant Heart,4,3,160,120
Irradiance Sheath,5,3,200,120
Fractal Blades,6,3,240,120
Cloak of Refraction,7,3,280,120
Echoes Prism,8,3,320,120
Fractured Gemstone Wakizashi,9,3,360,120
Star of Enlightenment,10,3,400,120
Crystallised Mist,11,3,440,120
Fractal Blades (shiny),12,3,480,120
Cloak of Refraction (shiny),13,3,520,120
Fractured Gemstone Wakizashi (shiny),14,3,560,120
Star of Enlightenment (shiny),15,3,600,120
Crystal Cobra Pet Skin,16,3,640,120
Wand of Hidden Knowledge,17,3,680,120
Necronomicon,18,3,720,120
Scholar's Seal,19,3,760,120
