Item Name,Description
Dagger of Dire Hatred,"A jagged, wickedly barbed blade of evil, charged with the unreasoning rage of ancestral vendettas."
Bow of Deep Enchantment,A peerless triple bow crafted of nightmatter and diamondwire by the exalted bowyers of the primeval overgods.
Staff of the Fundamental Core,"An otherworldly staff of omnipresent elation, embodied of cardinal essence and the power of deathless peace."
Wand of Retribution,"A golden wand of breathtaking power, created by elemental forces from the realms of ice and flame to unleash revenge on their enemies."
Sword of Majesty,"A gleaming obsidian sword of imperial power, fashioned by enslaved demons for the personal use of a world-conquering leader of mortals."
Kusanagi,"An awe-inspiring sword gifted to only the most worthy mortals from the highest heavens, channeling gales of wind in the hands of the blameless."
Soulforged Blades,"The weight of a single swing carries the vigor of a hundred past heroes, their souls bound together in the shape of blades so they may once again slay evil."
Longbow of the Midnight Diamond,An ancient longbow forged with an unmatched forgotten technique.
Spellblade of the Everlasting Death,A spellblade forged through the suffering of souls that have lost their way.
Morning Star of Reckoning,"A golden morning star of unrelenting power, created for the sole purpose of the destruction."
Gravelord's Flail,"The primary armament of the gravelords of old, eternally tasked with making sure the dead are forever sealed away from the mortal plane."
Godslayer Tachi,"The culmination of countless generations of swordsmiths, each perfecting their craft and improving these blades gradually. The pinnacle of weapons created by mortals for use in slaying the immortal."
Cloak of Nightmares,A moonwoven cloak worn by slayer cults who spill the blood of emperors in their abhorrent mission to create a new order.
Quiver of the Autumn King,"A sun iron quiver passed through a royal elven lineage, whose legendary skills in archery have protected the Forest Kingdoms for millennia."
Burning Retribution Spell,"A catastrophic spell of holy destruction, concocted in secrecy by the Liturgical Ones in their quest to learn a single letter of the divine language."
Tome of Hallowed Language,"A tome beatified in starlight and written on paper from the ancient wisdom trees, cloaking the worthy in divine reverence."
Helm of the Tribune,"An ashen helm of regal grandeur, whose wearers have upraised the greatest legions and inspired total domination."
Shield of Orcish Regalia,A mighty shield smithed in the burning rivers of the demonic realms to grant the right of sovereignty over the brutal Orclands.
Seal of Invocation,"A jubilant seal of celebration, granted to the most righteous crusaders as they challenge the evergrowing threat of demonic legions."
Necrofish Poison,"The oceanic Necrofish’s highly noxious poisons, secreted from its spines to befoul entire swaths of the seas."
Mindwaster Skull,A horrendously debauched martyr’s skull that has been brought to ruin by foul enchantments of the sulfurous realms.
Depthchaser Trap,An explosive ocean trap constructed to tear open the ironhide of the abyssal deepworm.
Dimensiongate Orb,An anomalous orb utilized by the astralmancers to banish demons who rose against them into a timeless void.
Prism of Reveries,"A scintillating prism of duplicity, infiltrating the deepest corners of the mind to awaken phantasmic entities that embody hatred and fear."
Scepter of the Firmament,"An azure scepter of elemental dominion, wielded by the sky charioteers to command the natural order of the overlands and the orchestration of astral bodies."
Dynastic Star,"A heraldic shuriken of the ancient royal family, revered for its astonishingly lethal edge after generations of use by a mighty eastern empire."
Virtuous Wakizashi,A pristine wakizashi exalted by the archangels themselves and awarded to combatants with the most pure hearts.
Nebular Lute,"A mysterious lute of dark matter, capable of playing joyous songs even in the oppressive sound void of space."
Grandmaster Mace,"A supremely dominant mace of faultless design, capable of manifesting entire armies in the astral wars."
Sonic Wave Sheath,"A marvelous sheath of inimitably brilliant constitution. Drawing one’s blade from within emits a furious sonic wave, propelling the weapon beyond its known limits."
Sigil of the Rhino,"A gilded sigil with ruby gemstones, delicately shaped into the form of the Rhino. This form represents the pinnacle of normal druids, only surpassed by druids choosing to specialize in more mythical creatures."
Leviathan Armor,"Magnificent leather armor made from the hide of the great leviathan, slain hundreds of years ago in a savage battle in the vast deeps."
Robe of the Ancient Intellect,"A phenomenal robe magically woven from fibers of sapphire, topaz and lapis lazuli, created for the archwizard of the seraphic realms."
Annihilation Armor,Impenetrable forceplate armor worn by the blackguard conquerors of the necromantic uprising.
Ring of Transcendent Health,An impeccably pristine topaz embedded in an enchanted gold ring.
Ring of Transcendent Magic,An impeccably pristine amethyst embedded in an enchanted gold ring.
Ring of Transcendent Attack,An impeccably pristine spinel embedded in an enchanted gold ring.
Ring of Transcendent Defense,An impeccably pristine onyx embedded in an enchanted gold ring.
Ring of Transcendent Speed,An impeccably pristine emerald embedded in an enchanted gold ring.
Ring of Transcendent Dexterity,An impeccably pristine citrine embedded in an enchanted gold ring.
Ring of Transcendent Vitality,An impeccably pristine ruby embedded in an enchanted gold ring.
Ring of Transcendent Wisdom,An impeccably pristine sapphire embedded in an enchanted gold ring.
Demon Blade,A swift and hungry blade that is never satisfied with just one kill.
Volcanic Sheath,"Archdemon Malphas took a conspicuous liking to this outsider’s sheath, smuggled in by a newly demonic soul. Perhaps its design reminded him of something?"
Berserker's Breastplate,"This armor is donned by the Brutes of the Abyss, focusing narrowly on pure offensive power with little reguard to the wellbeing of its wearer."
Staff of Eruption,"In the primal era of the realm, the volcanic mountains were overrun with rampant lava spirits, spiteful creatures who sought to burn all they could touch."
Scorchium Stone,A young enchantress used a rare flame-absorbing stone to capture the lava spirits.
Molten Mantle,"A suffocating black smoke began to pour out, consuming the young enchantress. As her soul and mind burned to dust, the fibers of this robe were strangely unscathed."
Ring of the Inferno,"With the enchantress reduced to ash, the stone burst, scattering the relics of the mystic into the realm’s lava fissures. They have since awaited a daring hero to recover the pieces from the clutches of demons."
Horned Wyrm Pet Skin,
Demon Frog Pet Skin,
Sword of Illumination,"A sword that, when held by one true of heart, will release magic from the flawless ruby in its hilt and ignite in flames."
Adamantine Helm,"A masterpiece of craftsmanship, this full helm was forged in the fires of the volcanic abyss infusing its metal with a regenerative ability."
Arcane Rapier,"This sword’s blade is infused with magical essence, causing it to fire out violently upon lunging. That same magical force pulls the blade back to its hilt after striking."
Amber Encrusted Helmet,"Decorated with ancient amber, this helmet’s idle solitude over many years have caused its abilities to dwindle."
Sandstone Seal,"Created to guide the spirits of the desert, this seal has infused itself with their energy over many years. This spiritual energy affects living creatures in unconventional ways compared to normal practices."
Resplendent Bow,"I courageously descended into the ruins, only to be bombarded with cactus spines as sharp as arrows."
Embellished Quiver,"After fending off men made of clay, I discovered a lamp that might fetch a considerable sum at the market."
Ornate Armor,"To my shock, a spirit arose from the lamp and thanked me for freeing him. The Genie would only allow me access to the contents of the lamp if I proved myself against his vast spiritual power."
